id,status,action,en,hi,hinglish,themes,type,depth,intensity_safe_floor,emotions,concepts,related_verses,source,shown_count,engagement_rate,notes
6a3e9f4397c7fe5e4b8ceeac,draft,,"Behind this anger, is there not a desire you believed life owed you — and who taught you to expect so much?","इस क्रोध के पीछे, क्या कोई ऐसी इच्छा नहीं है जिसे आपने जीवन से पाई हुई मान लिया था — और किसने आपको इतनी अपेक्षा करना सिखाया?","Is krodh ke peeche, kya koi aisi ichchha nahi hai jise aapne jeewan se paee hui maan liya tha — aur kisne aapko itni apekshaa karna sikhaaya?",anger,self_awareness,3,moderate,anger|disappointment|entitlement,desire/aversion (raga-dvesha)|fruit of action (karma-phala)|attachment,,llm_generated,0,0.0,
6a3e9f4497c7fe5e4b8ceead,draft,,"In the moment anger speaks through you, whose mouth is moving — the one who was wounded then, or the one who chooses now?","जब क्रोध आपके द्वारा बोलता है, किसका मुख चल रहा है — उसका जो तब आहत हुआ था, या उसका जो अब चुनता है?","Jab krodh aapke dwaara bolta hai, kiska mukh chal raha hai — uska jo tab aahat hua tha, ya uska jo ab chunta hai?",anger,self_awareness,3,moderate,anger|fragmentation|powerlessness,witness-self|equanimity|restless mind (chanchala mana),,llm_generated,0,0.0,
6a3e9f9797c7fe5e4b8ceeae,draft,,"When anger rises, what does it ask you to destroy — and is that destruction yours to carry out?","जब क्रोध उठता है, तो वह आपसे किसका नाश करने को कहता है — और क्या वह विनाश आपके कर्तव्य का है?","Jab krodh uthta hai, toh wah aapse kiska naash karne ko kehta hai — aur kya wah vinaash aapke kartavya ka hai?",anger,action_oriented,2,mild,anger|indignation,duty/svadharma|desire/aversion,,llm_generated,0,0.0,
6a3e9f9897c7fe5e4b8ceeaf,draft,,"In the heat of this moment, what action would be worthy of the one you are becoming, not merely the one you have been?","इस क्षण की तीव्रता में, कौन-सा कर्म उस व्यक्ति के योग्य होगा जो आप बन रहे हैं — केवल वह नहीं जो आप रहे हैं?","Is kshan ki teevrata mein, kaunsa karm us vyakti ke yogya hoga jo aap ban rahe hain — sirf wah nahin jo aap rahe hain?",anger,action_oriented,2,mild,anger|resentment,fruit of action|witness-self,,llm_generated,0,0.0,
6a3e9f9897c7fe5e4b8ceeb0,draft,,"If you acted from the place beneath your anger rather than from it, what would your hands do differently?","यदि आप अपने क्रोध के नीचे की स्थिति से, उससे नहीं, कार्य करें — तो आपके हाथ क्या भिन्न करेंगे?","Agar aap apne krodh ke neeche ki sthiti se, usse nahin, karya karein — toh aapke haath kya bhinn karenge?",anger,action_oriented,2,mild,anger|indignation,restless mind|duty/svadharma,,llm_generated,0,0.0,
6a3e9f9997c7fe5e4b8ceeb1,draft,,What has this anger come to protect in you — and is there another way to stand guard?,यह क्रोध आपके भीतर किसकी रक्षा करने आया है — और क्या कोई और तरीका है पहरा देने का?,Yah krodh aapke bheetar kiski raksha karne aaya hai — aur kya koi aur tareeka hai pehra dene ka?,anger,action_oriented,2,mild,anger|vulnerability,attachment|desire/aversion,,llm_generated,0,0.0,
6a3e9fc897c7fe5e4b8ceeb2,draft,,"When anger rises, whose hand do you imagine holds the flame — your own, or one you inherited before you ever chose?","जब क्रोध उमड़ता है, तो आप किस मुट्ठी में वह अग्नि देखते हैं — अपनी, या उसकी जो आपके चुनने से पहले सौंपी गई थी?","Jab krodh umadta hai, toh aap kis muhthi mein wah agni dekhte hain — apni, ya uski jo aapke chunne se pehle saunpi gayi thi?",anger,action_oriented,3,moderate,anger|resentment,attachment|witness-self,,llm_generated,0,0.0,
6a3e9fc997c7fe5e4b8ceeb3,draft,,"What action would remain if you stripped away the part that seeks to wound, to teach, or to be seen as right?","अगर आप उस हिस्से को हटा दें जो चोट देना चाहता है, सिखाना चाहता है, या सही दिखना चाहता है — तो क्या कर remaining karta bachta hai?","Agar aap us hisse ko hata dein jo chot dena chahta hai, sikhana chahta hai, ya sahi dikhna chahta hai — toh kya karna bachta hai?",anger,action_oriented,3,moderate,anger|indignation,desire/aversion|svadharma,,llm_generated,0,0.0,
6a3e9fca97c7fe5e4b8ceeb4,draft,,"In the moment you most want to act from anger, what are you unwilling to feel that drives you toward the flame rather than through it?","उस क्षण में जब आप क्रोध से करने के लिए सबसे अधिक उत्सुक हैं, कौन-सा अनुभव है जिसे महसूस करने से आप बच रहे हैं, और जो आपको आग में धकेलता है बजाय उसे पार करने के?","Us kshan mein jab aap krodh se karne ke liye sabse adhik utsuk hain, kaun-sa anubhav hai jise mehsoos karne se aap bach rahe hain, aur jo aapko aag mein dhakelta hai bajaye usse paar karne ke?",anger,action_oriented,3,moderate,anger|vulnerability|grief,restless mind|equanimity,,llm_generated,0,0.0,
6a3e9fca97c7fe5e4b8ceeb5,draft,,If this anger were not yours to carry — if it were only passing through — what would you do differently before it leaves your house?,"अगर यह क्रोध आपका नहीं, बस आपसे गुज़र रहा हो — तो इसके आपके घर छोड़ने से पहले आप क्या भिन्न करेंगे?","Agar yeh krodh aapka nahin, bas aapse guzar raha ho — toh iske aapke ghar chhodne se pehle aap kya binn karenge?",anger,action_oriented,3,moderate,anger|possessiveness,witness-self|attachment,,llm_generated,0,0.0,
6a3e9fe497c7fe5e4b8ceeb6,draft,,"When the heat of this moment has cooled, what do you imagine your own heart might quietly recognize?","जब इस क्षण की ताप शांत हो जाए, तो आपका हृदय क्या चुपचाप पहचान लेगा?","Jab is kshana ki taapa shant ho jaaye, toh aapka hriday kya chupchaap pehchan lega?",anger,spiritual,1,any,anger|regret,impermanence|witness-self,,llm_generated,0,0.0,
6a3e9fe597c7fe5e4b8ceeb7,draft,,"Beneath the burning, is there perhaps a tender place that simply did not wish to be hurt?","इस जलन के नीचे, क्या कोई कोमल स्थान है जो सिर्फ आहत नहीं होना चाहता था?","Is jalan ke neeche, kya koi komal sthaan hai jo sirf aahat nahin hona chaahata tha?",anger,spiritual,1,any,anger|vulnerability,witness-self|desire/aversion,,llm_generated,0,0.0,
6a3e9fe597c7fe5e4b8ceeb8,draft,,"If this feeling were a messenger rather than the message itself, what might it be asking you to notice?","यदि यह भाव संदेशवाहक हो, स्वयं संदेश नहीं, तो यह आपको क्या देखने के लिए कह रहा है?","Yadi yeh bhaav sandeshvahak ho, swayam sandesh nahin, toh yeh aapko kya dekhne ke liye keh raha hai?",anger,spiritual,1,any,anger|confusion,restless mind|desire/aversion,,llm_generated,0,0.0,
6a3e9fe697c7fe5e4b8ceeb9,draft,,"What is the part of you that remains still, even now, watching this storm move through?","आपके भीतर वह कौन-सा अंश है जो अभी भी स्थिर है, इस तूफान को गुजरते देख रहा?","Aapke bheetar wah kaun-sa ansh hai jo abhi bhi sthir hai, is toofaan ko guzarte dekh raha?",anger,spiritual,1,any,anger|fear,witness-self|equanimity,,llm_generated,0,0.0,
6a3f4477c50c45ed77577a26,draft,,"When the heat rises in you, is there a moment — however brief — where you might choose to step back and watch it, before it chooses for you?","जब आपके भीतर क्रोध उठता है, क्या कोई क्षण — चाहे कितना ही छोटा क्यों न हो — आपको मिलता है, जहाँ आप उसे देख सकें, उससे पहले कि वह आपके लिए चुन ले?","Jab aapke bheetar krodh uthta hai, kya koi kshan — chahe kitna hi chhota kyun na ho — aapko milta hai, jahan aap use dekh sakein, usse pehle ki woh aapke liye chun le?",anger,action_oriented,1,any,anger|impulse,witness-self|desire/aversion,,llm_generated,0,0.0,
6a3f4478c50c45ed77577a27,draft,,What would it mean to act from clarity rather than from the burning of this moment?,"इस क्षण की धधक से नहीं, बल्कि स्पष्टता से क्रिय करना — आपके लिए इसका क्या अर्थ होगा?","Is kshan ki dhadhak se nahin, balki spashtata se kriya karna — aapke liye iska kya arth hoga?",anger,action_oriented,1,any,anger|confusion,action without attachment|equanimity,,llm_generated,0,0.0,
6a3f4479c50c45ed77577a28,draft,,"If this anger were not who you are, but merely something passing through, how might you hold it differently?","यदि यह क्रोध आप न हों, बल्कि कुछ ऐसा हो जो गुज़र रहा हो — तो आप इसे किस भाव से पकड़ेंगे?","Agar yeh krodh aap na hoon, balki kuch aisa ho jo guzar raha ho — toh aap ise kis bhaav se pakadenge?",anger,action_oriented,1,any,anger|identification,witness-self|restless mind,,llm_generated,0,0.0,
6a3f4479c50c45ed77577a29,draft,,"In the space between what happened and what you feel, is there room for a single conscious breath?","जो हुआ और जो आप महसूस कर रहे हैं, उनके बीच — क्या एक सचेत श्वास के लिए जगह है?","Jo hua aur jo aap mehsoos kar rahe hain, unke beech — kya ek sacet shwaas ke liye jagah hai?",anger,action_oriented,1,any,anger|reactivity,equanimity|desire/aversion,,llm_generated,0,0.0,
6a3f448ac50c45ed77577a2a,draft,,"When the heat of this anger rises, who within you is watching it burn?","जब इस क्रोध की तीव्रता उठती है, तो आपके भीतर कौन इसे जलते हुए देख रहा है?","Jab is krodh ki tivrata uthti hai, toh aapke bheetar kaun isse jalte hue dekh raha hai?",anger,spiritual,2,mild,anger|self-awareness,witness-self|equanimity,,llm_generated,0,0.0,
6a3f448bc50c45ed77577a2b,draft,,What are you protecting so fiercely that this fire feels like your only guardian?,आप किस चीज़ की इतनी पैरवी कर रहे हैं कि यह आग आपको अपना एकमात्र रक्षक लगती है?,Aap kis cheez ki itni pairvi kar rahe hain ki yeh aag aapko apna ekmatra rakshak lagti hai?,anger,spiritual,2,mild,anger|vulnerability,attachment|desire/aversion,,llm_generated,0,0.0,
6a3f448cc50c45ed77577a2c,draft,,"If this moment of rage could speak without wounding, what longing would it reveal?","यदि इस क्रोध का क्षण बिना किसी को आहत किए बोल सकता, तो कौन-सी गहरी पीड़ा प्रकट होती?","Agar is krodh ka kshan bina kisi ko aahat kiye bol sakta, toh kaunsi geeri peeda prakat hoti?",anger,spiritual,2,mild,anger|longing,desire/aversion|attachment,,llm_generated,0,0.0,
6a3f448cc50c45ed77577a2d,draft,,Who taught you that to be still is to be defeated by this feeling?,आपने कहाँ सीखा कि इस भावना के सामने शांत रहना पराजय है?,Aapne kahan seekha ki is bhaavna ke saamne shant rehna paraajaya hai?,anger,spiritual,2,mild,anger|defensiveness,equanimity|restless mind,,llm_generated,0,0.0,
6a3f44c0c50c45ed77577a2e,draft,,"When the fire of anger subsides, what remains of the one who was burning?","जब क्रोध की अग्नि शांत हो जाती है, तो जलने वाले में क्या बचता है?","Jab krodh ki agni shaant ho jaati hai, toh jalne waale mein kya bachta hai?",anger,spiritual,3,moderate,anger|disillusionment,witness-self|impermanence,,llm_generated,0,0.0,
6a3f44c1c50c45ed77577a2f,draft,,What perishes if you do not answer this wound with rage — and what might awaken?,"यदि आप इस क्षति का उत्तर क्रोध से न दें, तो क्या नष्ट होता है — और क्या जाग सकता है?","Yadi aap is kshati ka uttar krodh se na dein, toh kya nasht hota hai — aur kya jaag sakta hai?",anger,spiritual,3,moderate,anger|grief,surrender|fruit of action|witness-self,,llm_generated,0,0.0,
6a3f44c2c50c45ed77577a30,draft,,"Who suffers more deeply — the one who is wronged, or the one who cannot release the memory of being wronged?","कौन अधिक तड़पता है — जिसने अपमान सहा, या जो अपमान की स्मृति को छोड़ नहीं पाता?","Kaun adhik tadapta hai — jisne apmaan saha, ya jo apmaan ki smriti ko chhod nahin paata?",anger,spiritual,3,moderate,resentment|sorrow,attachment|impermanence|equanimity,,llm_generated,0,0.0,
6a3f44c2c50c45ed77577a31,draft,,"If this anger were already passing through you like a cloud across the sun, what would you see in its place?","यदि यह क्रोध आपमें से बस एक सूर्य के आगे बादल की भांति गुज़र रहा हो, तो उसके स्थान पर आप क्या देखेंगे?","Yadi yah krodh aapmein se bas ek soory ke aage baadal ki bhaanti guzar raha ho, toh uske sthaan par aap kya dekhenge?",anger,spiritual,3,moderate,anger|longing,impermanence|witness-self|infinite,,llm_generated,0,0.0,
6a3e9eef97c7fe5e4b8ceea2,approved,,"What would you do with yourself if, just for today, you stopped trying to arrive somewhere?",यदि आज बस एक दिन के लिए आप कहीं पहुँचने की कोशिश छोड़ दें — तो क्या करेंगे?,Agar sirf aaj ke liye aap kahi pahunchne ki koshish band kar do — toh kya karoge?,restlessness|purpose|anxiety,action_oriented,1,any,drivenness|exhaustion,equanimity,,human_written,0,0.0,
6a3ea3fe97c7fe5e4b8ceeba,draft,,"When you fear what tomorrow may bring, whose future are you mourning — the body's, or the one who watches the body breathe?","जब आप कल के भय से भर जाते हैं, तो किसके भविष्य का शोक मना रहे हैं — इस शरीर का, या इस आत्मा का जो शरीर के प्राणों को देखता है?","Jab aap kal ke bhay se bhar jaate hain, toh kiske bhavishya ka shok mana rahein hain — is sharir ka, ya is aatma ka jo sharir ke praanon ko dekhta hai?",anxiety,self_awareness,2,mild,fear|antic potentiation,witness-self|impermanence,,llm_generated,0,0.0,
6a3ea3ff97c7fe5e4b8ceebb,draft,,What do you believe will break within you if this anxiety proves true — and has that part of you ever truly been whole?,आप क्या मानते हैं कि आपके भीतर टूट जाएगा यदि यह चिंता सच साबित हो — और क्या वह अंस कभी वास्तव में अखंड था?,Aap kya maante hain ki aapke bheetar toot jaayega agar yeh chinta sach saabit ho — aur kya woh hissa kabhi vastav mein akhand tha?,anxiety,self_awareness,2,mild,fear|vulnerability,attachment|witness-self,,llm_generated,0,0.0,
6a3ea3ff97c7fe5e4b8ceebc,draft,,"In the quiet beneath your worry, what story are you telling yourself about what you must become to be worthy of peace?","आपकी चिंता के नीचे की शांति में, आप अपने आपको कौन-सी कथा सुना रहे हैं — कि आपको क्या बनना होगा ताकि शांति के योग्य ठहर सकें?","Aapki chinta ke neeche ki shanti mein, aap apne aapko kaunsi katha suna rahein hain — ki aapko kya banna hoga taaki shanti ke yogy thehr sakein?",anxiety,self_awareness,2,mild,inadequacy|longing,desire/aversion|equanimity,,llm_generated,0,0.0,
6a3ea40097c7fe5e4b8ceebd,draft,,"You have feared before, and those moments passed — what part of you survived them all, unchanged, watching still?","आप पहले भी डरे थे, और वे क्षण बीत गए — आपके भीतर का कौन-सा अंश उन सब से अविकृत रहकर, यूं ही देखता रहा?","Aap pehle bhi dare the, aur woh kshan beet gaye — aapke bheetar ka kaunsa hissa un sab se avikrut rahkar, yun hi dekhta raha?",anxiety,self_awareness,2,mild,fear|tentative hope,witness-self|impermanence,,llm_generated,0,0.0,
6a3f452cc50c45ed77577a32,draft,,"When the mind races toward what may come, what is one small step your hands are already able to take?","जब मन भविष्य की आशंकाओं में भागता है, तो आपके हाथों में अभी कौन-सा एक छोटा कदम है जो उठाया जा सकता है?","Jab man bhavishya ki aashankon mein bhaagta hai, to aapke haathon mein abhi kaun-sa ek chhota kadam hai jo uthaya ja sakta hai?",anxiety,action_oriented,1,any,anxiety|helplessness,present moment action|svadharma,,llm_generated,0,0.0,
6a3f452cc50c45ed77577a33,draft,,"In this very moment, is there not some small duty waiting quietly to be tended?","इसी क्षण में, क्या कोई छोटी-सी धर्म-कर्तव्य की आहट नहीं है जो शांति से पालन की प्रतीक्षा कर रही है?","Isi kshann mein, kya koi chhoti-si kartavya ki aahat nahi hai jo shaanti se paalan ki pratiksha kar rahi hai?",anxiety,action_oriented,1,any,anxiety|overwhelm,svadharma|present action,,llm_generated,0,0.0,
6a3f452dc50c45ed77577a34,draft,,"If you set downipped the burden of the result, how would this action itself feel in your body?","फल की चिंता को वहन करने से मुक्त होकर, यह कर्म आपके शरीर में कैसा महसूस होता?","Fal ki chinta ko vahan karne se mukt hokar, yah karma aapke shareer mein kaisa mehsoos hota?",anxiety,action_oriented,1,any,anxiety|tension,karma yoga|non-attachment to fruit,,llm_generated,0,0.0,
6a3f4547c50c45ed77577a35,draft,,"When the mind races toward what has not yet happened, what is the one action still within your reach that you could offer with steadiness?","जब मन अभी न हुई बातों की ओर दौड़ता है, तो कौन सा एक कर्म ऐसा है जो अभी भी आपके वश में है और जिसे आप स्थिर चित्त से अर्पण कर सकते हैं?","Jab man abhi na hui baaton ki ore daudta hai, to kaunsa ek karm aisa hai jo abhi bhi aapke vash mein hai aur jise aap sthir chitt se arpan kar sakte hain?",anxiety,action_oriented,2,mild,anxiety|restlessness,karma yoga|equanimity,,llm_generated,0,0.0,
6a3f4548c50c45ed77577a36,draft,,"If this anxious moment were simply a scene passing through the witness within you, what duty would still call you forward?","यदि यह चिंताकुल क्षण आपके भीतर के साक्षी के सम्मुख बस एक दृश्य होकर गुज़र रहा हो, तो कौन सा कर्तavya आपको आगे बढ़ने का आह्वान करता रहेगा?","Yadi yeh chintakul kshan aapke bheetar ke sakshi ke sammukh bas ek drishya hokar guzar raha ho, to kaunsa kartavya aapko aage badhne ka ahvan karta rahega?",anxiety,action_oriented,2,mild,anxiety|overwhelm,witness-self|svadharma,,llm_generated,0,0.0,
6a3f4549c50c45ed77577a37,draft,,You have acted before with a heart disturbed — what allowed your hands to move despite it?,आप पहले भी व्याकुल hriday se kiye hain — aisa kya tha jisne aapke haathon ko uske bawajood chalne diya?,Aap pehle bhi vyakul hriday se kiye hain — aisa kya tha jisne aapke haathon ko uske bawajood chalne diya?,anxiety,action_oriented,2,mild,anxiety|apprehension,desire/aversion|action without attachment to fruit,,llm_generated,0,0.0,
6a3f4549c50c45ed77577a38,draft,,"What would it mean to perform your next act not to quiet this anxiety, but because the act itself is worthy of your full presence?","अगला कर्म इस चिंता को शांत करने के लिए नहीं, बल्कि इसलिए करना कि वह कर्म स्वयं आपकी पूर्ण उपस्थिति के योग्य है — इसका अर्थ आपके लिए क्या होगा?","Aglas karm is chinta ko shant karne ke liye nahi, balki isliye karna ki vah karm swayam aapki poorn upasthiti ke yogya hai — iska arth aapke liye kya hoga?",anxiety,action_oriented,2,mild,anxiety|urgency,karma yoga|equanimity,,llm_generated,0,0.0,
6a3f4564c50c45ed77577a39,draft,,"When anxiety rises, do you act to protect what you love, or to escape the shadow of losing it — and can you yet tell the two apart?","जब चिंता उठती है, तब आप क्या सुरक्षित करने के लिए करते हैं — जो आपके प्रिय है, या उसके खो जाने के भय से बचने के लिए — और क्या अभी तक आप इन दोनों में भेद कर पाते हैं?","Jab chinta uthhti hai, tab aap kya surakshit karne ke liye karte hain — jo aapke priya hai, ya uske kho jaane ke bhay se bachne ke liye — aur kya abhi tak aap in donon mein bhed kar paate hain?",anxiety,action_oriented,3,moderate,fear|confusion,attachment|desire/aversion,,llm_generated,0,0.0,
6a3f4565c50c45ed77577a3a,draft,,"If this anxiety were not yours to carry alone, but a duty offered to the doing itself — what would your hands do next, and with what steadiness?","यदि यह चिंता आपcarry करने के लिए न हो, बल्कि कर्म स्वयं में अर्पित हो — तब आपके हाथ अगले क्या करेंगे, और किस धैर्य से?","Yadi yah chinta aapke carry karne ke liye na ho, balki karma swayam mein arpit ho — tab aapke haath agle kya karenge, aur kis dhairya se?",anxiety,action_oriented,3,moderate,overwhelm|tentative hope,fruit of action|duty/svadharma|equanimity,,llm_generated,0,0.0,
6a3f4566c50c45ed77577a3b,draft,,"In the moment before acting, when the mind races through a hundred futures — who within you remains still enough to choose at all?","कर्म से पहले क्षण में, जब मन सौ भविष्यों में भागता है — तब आपके भीतर कौन ऐसा है जो चुनने के लिए काफी स्थिर रहता है?","Karma se pehle kshan mein, jab mann sau bhavishyon mein bhagta hai — tab aapke bheetar kaun aisa hai jo chunne ke liye kaafi sthir rehta hai?",anxiety,action_oriented,3,moderate,restlessness|longing for clarity,restless mind|witness-self,,llm_generated,0,0.0,
6a3f4566c50c45ed77577a3c,draft,,"You have performed this anxious act before — reaching, guarding, calculating — and it has not stilled the mind; what now prevents you from performing otherwise?","आपने यह चिंतित कर्म पहले भी किया है — पहुँचना, बचाना, गणना करना — और मन शांत नहीं हुआ; अब आपको और करने से क्या रोकता है?","Aapne yah chintit karma pehle bhi kiya hai — pahunchna, bachana, ganana karna — aur mann shant nahin hua; ab aapko aur karne se kya rokta hai?",anxiety,action_oriented,3,moderate,stuckness|weariness,desire/aversion|equanimity|attachment,,llm_generated,0,0.0,
6a3f4585c50c45ed77577a3d,draft,,"When the mind races ahead to futures that have not arrived, what is still breathing quietly within you now?","जब मन पहुँच जाता है उन भविष्यों में जो अभी आये नहीं, तब भी कुछ तो है जो इस क्षण में शांत साँस ले रहा है — उसे आप महसूस कर सकते हैं?","Jab mann pahunch jaata hai un bhavishyon mein jo abhi aaye nahin, tab bhi kuchh toh hai jo is kshan mein shaant saans le raha hai — usey aap mehsoos kar sakte hain?",anxiety,spiritual,1,any,anxiety|restlessness,restless mind|witness-self,,llm_generated,0,0.0,
6a3f4586c50c45ed77577a3e,draft,,"If this worry were a visitor passing through, what would it ask to be heard before it left?","यदि यह चिंता एक मेहमान हो जो गुज़र रहा है, तो क्या कहना चाहता है — सुने जाने से पहले?","Yadi yeh chinta ek mehmaan ho jo guzar raha hai, toh kya kehna chahta hai — sune jaane se pehle?",anxiety,spiritual,1,any,anxiety|fear,impermanence|witness-self,,llm_generated,0,0.0,
6a3f4586c50c45ed77577a3f,draft,,"Beneath the noise of what may go wrong, is there not something in you that has carried you this far?","उस शोर के नीचे जो कहता है कि क्या गलत हो सकता है, क्या कोई ऐसा स्रोत नहीं है जो आपको यहाँ तक लाया है?","Us shor ke neeche jo kehta hai ki kya galat ho sakta hai, kya koi aisa srot nahin hai jo aapko yahaan tak laaya hai?",anxiety,spiritual,1,any,anxiety|insecurity,surrender|witness-self,,llm_generated,0,0.0,
6a3f4587c50c45ed77577a40,draft,,What softens in you when you consider that even this moment of unease will not remain forever?,जब आप सोचते हैं कि यह बेचैनी भी सदा नहीं रहेगी — तब आपके भीतर क्या हल्का हो जाता है?,Jab aap sochte hain ki yeh bechaini bhi sada nahin rahegi — tab aapke bheetar kya halka ho jaata hai?,anxiety,spiritual,1,any,anxiety|tension,impermanence|equanimity,,llm_generated,0,0.0,
6a3f4599c50c45ed77577a41,draft,,"When this anxiety stirs, is it the situation itself that wounds, or the mind's story of what may come?","जब यह चिंता उठती है, क्या वस्तुस्थिति ही आहत करती है, या मन की वह कथा जो आने वाले का अनुमान लगाती है?","Jab yeh chinta uthti hai, kya vastusthiti hi aahat karti hai, ya man ki wah katha jo aane wale ka anumaan lagati hai?",anxiety,spiritual,2,mild,anxiety|apprehension,restless mind|witness-self,,llm_generated,0,0.0,
6a3f459ac50c45ed77577a42,draft,,What might you be clinging to so fiercely that its possible loss already terrifies you?,ऐसा क्या है जिसे आप इतनी दृढ़ता से थामे हुए हैं कि उसके खो जाने की संभावना ही आपको भयभीत कर देती है?,Aisa kya hai jise aap itni dridhta se thame hue hain ki uske kho jaane ki sambhavna hi aapko bhaybhit kar deti hai?,anxiety,spiritual,2,mild,anxiety|attachment,attachment|impermanence,,llm_generated,0,0.0,
6a3f459bc50c45ed77577a43,draft,,"If you could not control the next hour at all, where in yourself would you still find ground to stand?","यदि आप अगले घण्टे पर पूर्णतः नियंत्रण न रख सकें, तब अपने भीतर कहाँ वह स्थल पाएँगे जहाँ अभी भी अडिग रह सकें?","Yadi aap agle ghante par poornatya niyantran na rakh sakein, tab apne bheetar kahan wah sthal payenge jahan abhi bhi adig rah sakein?",anxiety,spiritual,2,mild,anxiety|helplessness,surrender|witness-self,,llm_generated,0,0.0,
6a3f459bc50c45ed77577a44,draft,,Who is the one who watches even this trembling — and does that one tremble?,वह कौन है जो इस कम्पन को भी देखता है — और क्या वह स्वयं कम्पित होता है?,Wah kaun hai jo is kampan ko bhi dekhta hai — aur kya wah swayam kampit hota hai?,anxiety,spiritual,2,mild,anxiety|disquiet,witness-self|equanimity,,llm_generated,0,0.0,
